config_hash,baseline,hyper,channel,horizon_step_s,mse,rmse,mae,skill_vs_persistence,n_valid
ccb0d9c59f9b664f,ar,16,CoPx_R,1.0,0.00292594,0.0540919,0.0326926,0.2548,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,0.1,0.000345701,0.018593,0.032445,0.2886,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,0.2,0.00108825,0.0329886,0.032445,0.1682,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,0.3,0.00162763,0.0403439,0.032445,0.1711,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,0.4,0.00196995,0.0443842,0.032445,0.1843,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,0.5,0.00220554,0.0469631,0.032445,0.1843,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,0.6,0.00235462,0.0485244,0.032445,0.1796,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,0.7,0.00249568,0.0499568,0.032445,0.1761,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,0.8,0.00263475,0.0513299,0.032445,0.1754,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,0.9,0.00277862,0.0527126,0.032445,0.1805,47205
ccb0d9c59f9b664f,ar,16,CoPy_R,1.0,0.00292917,0.0541218,0.032445,0.1887,47205
